client_code,Кредитная карта,Премиальная карта,Карта для путешествий,Депозит Сберегательный (защита KDIF),Депозит Накопительный,Депозит Мультивалютный (KZT/USD/RUB/EUR),Обмен валют,Инвестиции,Кредит наличными,best_product,best_benefit_kzt
33,20700.0,15079.170833333334,1801.369252,0.0,6387.9065,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
34,20700.0,14609.545416666668,2051.258164,0.0,0.0,420.24625,0.0,0.0,0.0,Кредитная карта,20700.0
35,20700.0,30041.37055,2334.9100000000008,0.0,16842.265125,0.0,0.0,0.0,0.0,Премиальная карта,30041.37055
36,20700.0,14015.7039,2028.4916039999998,0.0,5520.14675,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
37,20700.0,14887.836750000002,1776.24388,0.0,6977.79775,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
38,20700.0,29535.326576666666,2312.0334680000005,0.0,67642.096875,0.0,0.0,0.0,0.0,Депозит Накопительный,67642.096875
39,20700.0,24439.474876666663,1877.2706040000003,0.0,14510.778375,0.0,0.0,0.0,0.0,Премиальная карта,24439.474876666663
40,20700.0,14531.630850000001,2317.37148,0.0,333.60650000000004,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
41,20700.0,25474.916463333328,1894.3364040000001,0.0,13535.138625,0.0,0.0,0.0,0.0,Премиальная карта,25474.916463333328
42,20700.0,30889.55849,2614.9768400000003,0.0,34270.8255,0.0,0.0,0.0,0.0,Депозит Накопительный,34270.8255
43,20700.0,13193.307816666667,1652.026136,0.0,295.74,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
44,20700.0,14627.32015,1943.576804,0.0,348.15324999999996,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
45,20700.0,35620.19010000001,1539.02296,0.0,0.0,263.001,0.0,0.0,1.0,Премиальная карта,35620.19010000001
46,20700.0,13688.3632,1746.3349160000002,0.0,333.34299999999996,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
47,20700.0,14295.409433333334,3425.4132520000003,0.0,0.0,288.52099999999996,0.0,0.0,1.0,Кредитная карта,20700.0
48,20700.0,15169.054733333334,2061.3545360000003,0.0,318.57925,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
49,20700.0,26570.433233333333,4704.903424,0.0,16400.073375,0.0,0.0,3336.2513120000003,0.0,Премиальная карта,26570.433233333333
50,20700.0,28545.351220000004,2664.883988,0.0,41544.22762500001,0.0,0.0,3188.034736000001,0.0,Депозит Накопительный,41544.22762500001
51,20700.0,23500.044173333332,1843.3859280000004,0.0,16612.438875,0.0,0.0,4214.846144,0.0,Премиальная карта,23500.044173333332
52,20700.0,27466.089916666668,3272.5919200000003,0.0,39742.492125000004,0.0,0.0,3391.852768,0.0,Депозит Накопительный,39742.492125000004
53,20700.0,23551.337103333335,2394.049476,0.0,0.0,13687.101,0.0,2780.7685680000004,0.0,Премиальная карта,23551.337103333335
54,20700.0,34904.90589333333,8036.438208000001,0.0,47468.29274999999,0.0,0.0,3338.744184,0.0,Депозит Накопительный,47468.29274999999
55,20700.0,26867.83794666667,2365.910856,0.0,40739.149875,0.0,0.0,0.0,0.0,Депозит Накопительный,40739.149875
56,20700.0,15057.473583333332,4422.635320000001,0.0,0.0,219.75474999999997,0.0,0.0,1.0,Кредитная карта,20700.0
57,20700.0,29612.65319,2325.8651640000003,0.0,32058.308999999997,0.0,0.0,0.0,0.0,Депозит Накопительный,32058.308999999997
58,20700.0,14597.255866666666,1630.805112,0.0,241.54812499999997,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
59,20700.0,30043.15837666666,1854.0851320000004,0.0,51469.234124999995,0.0,0.0,0.0,0.0,Депозит Накопительный,51469.234124999995
60,20700.0,15602.464283333335,1951.2691440000003,0.0,0.0,176.823875,0.0,0.0,1.0,Кредитная карта,20700.0
